recipient,year,dac,wb,non_dac,g7,wb_budget,recipient_iso3
Peru,2008,367.82,0,1.3,196.77,1637.1,PER
Suriname,2008,62.18,0,0.02,4.18,1637.1,SUR
Uruguay,2008,10.93,0,1.19,2.51,1637.1,URY
Venezuela,2008,42.36,0,0.33,28.27,1637.1,VEN
Cambodia,2008,442.49,31.09,3.02,281.4,1637.1,KHM
China (People's Republic of),2008,1241.95,-0,53.43,1049.47,1637.1,CHN
Democratic People's Republic of Korea,2008,196.96,0,-0,171.28,1637.1,PRK
Indonesia,2008,607.64,386.64,1.97,127.73,1637.1,IDN
Lao People's Democratic Republic,2008,212.66,36.68,114.52,113.97,1637.1,LAO
Malaysia,2008,136.65,0,0.13,127.8,1637.1,MYS
Mongolia,2008,179.69,16,3.6,128.18,1637.1,MNG
Philippines,2008,36.8,-0,-0,-0,1637.1,PHL
Thailand,2008,-0,-0,2.31,-0,1637.1,THA
Timor-Leste,2008,225.98,4.47,0.07,71.16,1637.1,TLS
Viet Nam,2008,1509.31,523.07,0.95,1019.75,1637.1,VNM
Afghanistan,2008,4093.16,154.79,120.76,3443.97,1637.1,AFG
Armenia,2008,211,64.22,0.98,196.35,1637.1,ARM
Azerbaijan,2008,119.08,37.94,31.42,94.49,1637.1,AZE
Bangladesh,2008,749.29,582.06,22.51,489.43,1637.1,BGD
Bhutan,2008,44.95,9.73,0.28,19.79,1637.1,BTN
Georgia,2008,620.7,104.69,16.5,548.23,1637.1,GEO
India,2008,1371.9,75.57,4.1,1249.36,1637.1,IND
Kazakhstan,2008,249.21,0,45.12,239.11,1637.1,KAZ
Kyrgyzstan,2008,147.81,26.1,37.29,115.53,1637.1,KGZ
Maldives,2008,18.99,2.83,27.49,9.77,1637.1,MDV
Myanmar,2008,397.68,0,8.87,233.15,1637.1,MMR
Nepal,2008,405.3,59.09,0.04,263.2,1637.1,NPL
Pakistan,2008,895.65,-0,82.5,776.13,1637.1,PAK
Sri Lanka,2008,384.62,80.72,6.62,216.72,1637.1,LKA
Tajikistan,2008,144.75,26.63,10.67,112.36,1637.1,TJK
Turkmenistan,2008,-0,0,8.27,-0,1637.1,TKM
Uzbekistan,2008,108.55,12.06,11.78,94.58,1637.1,UZB
Iran,2008,56.48,0,11.24,42.23,1637.1,IRN
Iraq,2008,9421.98,11.46,41.17,8053.04,1637.1,IRQ
Jordan,2008,480.69,-0,55.64,442.22,1637.1,JOR
Lebanon,2008,699.6,0,111.78,610.9,1637.1,LBN
Oman,2008,3.86,0,58.57,3.51,1637.1,OMN
Syrian Arab Republic,2008,49.54,-0,-0,30.03,1637.1,SYR
West Bank and Gaza Strip,2008,1309.47,0,155.18,877.87,1637.1,PSE
Yemen,2008,187.83,92.49,24.09,146.18,1637.1,YEM
Cook Islands,2008,5.27,0,0,-0,1637.1,COK
Fiji,2008,36.14,0,0.04,9.6,1637.1,FJI
Kiribati,2008,20.95,0,0.09,7.63,1637.1,KIR
Marshall Islands,2008,57.21,0,0.38,56.38,1637.1,MHL
Nauru,2008,31.21,0,0.45,1.36,1637.1,NRU
Niue,2008,19.83,0,0,0.05,1637.1,NIU
Palau,2008,43.45,0,0.26,43.03,1637.1,PLW
Papua New Guinea,2008,299.41,-0,-0,-0,1637.1,PNG
Samoa,2008,28.68,1.74,0.21,5.74,1637.1,WSM
Solomon Islands,2008,237.71,-0,-0,9.74,1637.1,SLB
Tokelau,2008,26.04,0,0,0,1637.1,TKL
Tonga,2008,25.47,0.54,0.38,4.93,1637.1,TON
Tuvalu,2008,15.57,0,0.41,5.26,1637.1,TUV
Vanuatu,2008,94.18,-0,0,52.35,1637.1,VUT
Wallis and Futuna,2008,108.33,0,0,108.32,1637.1,WLF
Albania,2009,225.75,24.74,8.66,127.94,1683.5,ALB
Belarus,2009,75.24,0,3.85,38.71,1683.5,BLR
Bosnia and Herzegovina,2009,272.82,17.4,21.74,88.81,1683.5,BIH
Croatia,2009,32.26,0,0.14,18.98,1683.5,HRV
