recipient,year,dac,wb,non_dac,g7,wb_budget,recipient_iso3,pmm_fh,pmm_polity,gdp,pop,unemp,disaster,civilwar
Trinidad and Tobago,2009,4.28,0,0.04,4.02,1683.5,TTO,3,-3,21445273759,1320921,4.03,0,0
Argentina,2009,69.76,0,1.6,45.9,1683.5,ARG,4,6,384677000000,40482786,8.65,21.99999999,0
Bolivia,2009,460.03,31.15,0.11,223.51,1683.5,BOL,3,5,18870882464,9884790,2.86,0,0
Brazil,2009,286.33,0,1.81,185.7,1683.5,BRA,6.5,8,2054220000000,193886505,8.52,167.0000007,0
Chile,2009,53.8,-0,0.65,29.02,1683.5,CHL,6,8,206471000000,16886184,11.31,3.000000002,0
Colombia,2009,1051.63,-0,0.97,828.52,1683.5,COL,5.5,7,274237000000,44750054,12.07,139.0000002,1
Ecuador,2009,145.92,-0,0.37,74.03,1683.5,ECU,5,9,67186830557,14774412,4.61,33.00000067,0
Guyana,2009,42.99,7.93,0,42.11,1683.5,GUY,2,-7,3307887391,747718,11.69,0,0
Paraguay,2009,112.65,-0,0.11,70.38,1683.5,PRY,4.5,8,24517508572,6163970,5.46,0.999999923,0
Peru,2009,335.43,0,1.24,195.81,1683.5,PER,5,8,136182000000,28792663,3.73,225.9999982,1
Suriname,2009,107.84,0,0,6.02,1683.5,SUR,2.5,-7,4153700530,523113,8.72,0,0
Uruguay,2009,28.16,0,0.75,17.07,1683.5,URY,6,9,37368467080,3349676,7.74,1,0
Venezuela,2009,43.97,0,0.24,32.01,1683.5,VEN,2,-6,399135000000,28031010,6.1,9.000000052,0
Cambodia,2009,458.67,28.48,5.37,285.46,1683.5,KHM,3,4,10609615491,14093605,0.58,19.00000003,0
China (People's Republic of),2009,1077.36,-0,-0,901.48,1683.5,CHN,5,7,5501980000000,1331260000,4.7,579.050168,0
Democratic People's Republic of Korea,2009,47.77,0,-0,22.86,1683.5,PRK,4,6,27133804225,24428340,2.87,0,0
Indonesia,2009,458.02,207.08,-0,-0,1683.5,IDN,6,9,710852000000,238620554,6.11,1496.999762,0
Lao People's Democratic Republic,2009,252.27,29.46,19.7,128.88,1683.5,LAO,5,7,6567765473,6148621,0.81,26.00000011,0
Malaysia,2009,117.83,0,0.06,108.3,1683.5,MYS,1.5,-6,237391000000,27735038,3.69,5.999999995,0
Mongolia,2009,212.71,60.33,13.15,130.37,1683.5,MNG,4.5,10,6759244954,2673794,5.86,25.9999998,0
Philippines,2009,281.78,-0,-0,141.22,1683.5,PHL,4.5,7,194130000000,92414161,3.86,1144.999974,1
Thailand,2009,-0,-0,1,-0,1683.5,THA,1.5,-7,317267000000,66866834,0.93,18.00000001,1
Timor-Leste,2009,187.02,3.68,0.16,50.21,1683.5,TLS,4.5,6,805616566.6,1074286,3.27,0,0
Viet Nam,2009,1849.51,1127.22,3.57,1423.02,1683.5,VNM,4.5,7,108935000000,87092250,1.74,360.5000016,0
Afghanistan,2009,5368.48,289.42,126.5,4609.92,1683.5,AFG,4.5,7,13865194314,28394806,11.46,100.9999999,1
Armenia,2009,224.18,124.04,1.32,205.94,1683.5,ARM,4,6,9060944166,2888094,18.44,1.200393719,0
Azerbaijan,2009,122.88,34.84,30.42,108.86,1683.5,AZE,5,7,50491150983,8947243,5.74,0,0
Bangladesh,2009,697.61,101,8.36,435.91,1683.5,BGD,5.5,6,109195000000,145924795,5,23,0
Bhutan,2009,49.77,30.03,0.93,20.77,1683.5,BTN,4.5,4,1382803098,678329,3.96,22.99999984,0
Georgia,2009,476,150.62,21.33,410.26,1683.5,GEO,1,-4,11523354926,3814419,20.71,1.999999993,0
India,2009,1428.02,455,2.14,1313.4,1683.5,IND,2,-7,1544380000000,1217726217,5.61,1650.188873,1
Kazakhstan,2009,182.16,0,69.88,166.37,1683.5,KAZ,2.5,-9,137975000000,16092822,6.55,4.914822261,0
Kyrgyzstan,2009,142.29,23.79,51.02,105.46,1683.5,KGZ,6.5,8,4817073505,5383300,8.41,26.00000021,0
Maldives,2009,16.02,4.28,-0,15.87,1683.5,MDV,6.5,10,2412877397,353391,11.7,0,0
Myanmar,2009,226.61,0,5.75,143.76,1683.5,MMR,1,-7,46990989123,50250366,0.78,23.99999997,1
Nepal,2009,485.6,112.1,0.43,274.95,1683.5,NPL,4.5,6,15267319043,26883531,1.64,126.9999999,0
Pakistan,2009,1361.27,954.75,205.07,1164.63,1683.5,PAK,5,6,174364000000,175525610,0.54,102,1
Sri Lanka,2009,361.84,134.59,7.27,163.62,1683.5,LKA,4.5,8,52516077579,20123508,5.85,4.000000012,1
Tajikistan,2009,138.1,44.82,8.81,102.64,1683.5,TJK,3.5,5,5297820308,7364752,11.5,21.00000009,0
Turkmenistan,2009,15.03,0,10.46,13.49,1683.5,TKM,6,9,20680547525,5007953,4.54,0.920821467,0
Uzbekistan,2009,73.35,26.76,21.24,61.53,1683.5,UZB,1,-7,43383926063,27767400,5,0,0
Iran,2009,60.89,0,12,45.29,1683.5,IRN,5,9,460130000000,72924833,11.97,0,1
Iraq,2009,2939.31,30.83,42.66,2801.45,1683.5,IRQ,1,-7,130182000000,28973157,8.49,2,1
Jordan,2009,535.58,-0,48.05,511.88,1683.5,JOR,3,-1,26519912222,6893258,12.9,0,0
Lebanon,2009,380.33,0,46.02,319.3,1683.5,LBN,2,-4,35604407295,4813026,6.36,0,0
Oman,2009,8.73,0,185.84,8.43,1683.5,OMN,1,-9,55954022116,2876186,3.84,0,0
Syrian Arab Republic,2009,63.7,-0,42.91,42.38,1683.5,SYR,5,6,35847289440,21205873,8.14,0,0
West Bank and Gaza Strip,2009,1780.35,0,262.28,1345.86,1683.5,PSE,3,-6,9152714543,3689099,20.45,0,0
Yemen,2009,234.53,73.36,119.29,185.46,1683.5,YEM,2.5,2,28696460069,22516464,12.71,11.00000002,0
Cook Islands,2009,7.14,0,0,-0,1683.5,COK,2,-4,11500613162,3494200,19.63,1.999999993,0
Fiji,2009,50.25,0,0.08,21.76,1683.5,FJI,5,8,3050380096,853636,4.2,15.00000004,0
Kiribati,2009,24.49,0,0,5.76,1683.5,KIR,7,10,157576722.4,100928,8.41,0,0
Marshall Islands,2009,64.89,0,0.05,62.77,1683.5,MHL,7,10,150378872.8,56255,11.51,0,0
Nauru,2009,25.03,0,0,2.08,1683.5,NRU,7,10,42808068.35,9945,12.35,0,0
Niue,2009,8.92,0,0,0.07,1683.5,NIU,2.5,-7,216408000000,90901967,5.03,131.9999996,0
Palau,2009,36.71,0,0.01,35.48,1683.5,PLW,7,8,185542094.2,18290,15.26,0,0
Papua New Guinea,2009,368.71,10.16,0,3.32,1683.5,PNG,4,5,12940121017,7144774,2.06,19,0
Samoa,2009,49.87,1.82,0.02,15.58,1683.5,WSM,6,8,659999075,184553,5.48,147.9999836,0
Solomon Islands,2009,233.27,-0,-0,5.45,1683.5,SLB,6,9,779620029.5,515182,2.02,20.99999967,0
Tokelau,2009,12.74,0,0,0,1683.5,TKL,6,8,237391000000,46258189,8.15,68.00000002,0
Tonga,2009,37.11,1.62,0.01,11.05,1683.5,TON,6.5,7,363915983.2,103897,1.56,8.999999769,0
Tuvalu,2009,14.38,0,0.01,7.22,1683.5,TUV,7,8,32716491.68,10413,10.62,7.00000012,0
Vanuatu,2009,108.74,-0,0,42.5,1683.5,VUT,6,10,662362919.3,230244,4.57,0,0
Wallis and Futuna,2009,101.51,0,0,101.45,1683.5,WLF,1.5,-8,11474677065,4145400,19.33,47.99999991,0
Albania,2010,210.9,14.46,8.6,122.32,1741.3,ALB,3,3,11926928506,2913021,14.09,1.999999976,0
Belarus,2010,96.27,0,3.75,53.55,1741.3,BLR,3.5,5,57222490769,9490583,6.11,3.596249948,0
Bosnia and Herzegovina,2010,237.85,92.96,14.9,74.1,1741.3,BIH,4.5,8,17176781337,3705478,27.31,2.999999999,0
Croatia,2010,37.42,0,0.31,25.78,1741.3,HRV,6.5,9,59918313669,4295427,11.62,1.000000011,0
North Macedonia,2010,90.28,-0,20.26,59.14,1741.3,MKD,6,8,9412311666,2070737,32.02,0,0
Moldova,2010,94.68,59.65,24.53,52.68,1741.3,MDA,6,10,6974960345,2861487,7.45,1,0
Montenegro,2010,42.07,2.98,7.18,21.67,1741.3,MNE,1.5,-8,4143033276,619428,19.65,0,0
Serbia,2010,307.81,23.6,3.83,209.65,1741.3,SRB,2.5,-2,41819468692,7291436,19.22,5.000000037,0
Turkey,2010,606.2,-0,14.61,503.36,1741.3,TUR,3.5,3,776993000000,72326992,10.66,64.00000011,1
Ukraine,2010,430.95,0,21.56,350.41,1741.3,UKR,5,8,136013000000,45870741,8.1,6,0
Algeria,2010,130.92,0,-0,100.44,1741.3,DZA,5.5,6,161207000000,35977451,9.96,0,1
Egypt,2010,346.91,-0,74.73,281,1741.3,EGY,3.5,-5,218984000000,82761244,8.76,61.99999992,0
Libya,2010,17.4,0,0.72,16.24,1741.3,LBY,1.5,-1,74773444901,6197667,19.03,0,0
Morocco,2010,535.08,-0,10.67,426.77,1741.3,MAR,5.5,9,93216746662,32343384,9.09,41.99999994,0
Tunisia,2010,313.07,-0,2.64,169.15,1741.3,TUN,3.5,0,44050929160,10635245,13.05,0,0
Angola,2010,148.54,3.73,0.09,116.65,1741.3,AGO,4.5,7,83799496611,23356247,9.43,25.00000005,0
Benin,2010,331.1,81.6,1.14,220,1741.3,BEN,2,-1,9535345011,9199254,1.04,46.00000018,0
Botswana,2010,108.79,-0,-0,102.35,1741.3,BWA,6,10,12786654498,1987106,17.86,0,0
Burkina Faso,2010,411.86,182.91,4.92,220.73,1741.3,BFA,5,8,10109618964,15605211,4.68,15.99999997,0
Burundi,2010,264.63,102.7,0.32,149.42,1741.3,BDI,6,7,2032135191,8675606,1.74,8.999999956,0
Cabo Verde,2010,232.8,20.75,-0,57.93,1741.3,CPV,4,5,1664310770,492644,10.67,0,0
Cameroon,2010,245.27,79.22,0.08,224.99,1741.3,CMR,1,-7,26169323293,20341236,4.11,12.99999999,0
Central African Republic,2010,109.37,16.99,0.4,60.78,1741.3,CAF,5,9,2142591539,4386765,4.38,2.999999997,1
Chad,2010,294.21,-0,-0,236.31,1741.3,TCD,3,-6,10668102735,11952134,1.59,24.00000011,1
Comoros,2010,20.11,4.7,15.72,20.11,1741.3,COM,3.5,-3,907978731.7,689696,6.6,0,0
Congo,2010,1109.03,20.43,0.49,1041.17,1741.3,COG,5,9,13135580695,4273738,13.95,0,0
C�te d'Ivoire,2010,408.36,177.99,1.48,394.48,1741.3,CIV,2.5,-1,24908781285,20532944,6.71,17.99999997,0
Democratic Republic of the Congo,2010,2240.15,282.41,6.55,721.32,1741.3,COD,3.5,5,21565720044,64563853,3.98,45.99999999,0
Djibouti,2010,86.44,-0,7.48,85.86,1741.3,DJI,4.5,7,1128611700,840194,11.52,0,0
Equatorial Guinea,2010,71.18,-0,-0,53.39,1741.3,GNQ,5,10,16314443429,943640,8.42,0,0
Eritrea,2010,31.56,1.33,22.21,15.83,1741.3,ERI,1.5,-6,1589515447,3170437,6.76,0,0
Ethiopia,2010,1861.78,635.98,34.66,1599.97,1741.3,ETH,1.5,-4,29933790334,87639962,2.34,19,1
Gabon,2010,72.91,0,0.03,72.55,1741.3,GAB,4.5,9,14372591916,1624146,20.39,0,0
Gambia,2010,29.41,10.95,1.3,23.79,1741.3,GMB,2,-8,1543292393,1793199,9.41,8.999999893,0
Ghana,2010,858.44,304.79,3.27,629.18,1741.3,GHA,6,9,32197272797,24779614,5.32,63.00000019,0
Guinea,2010,87.34,0.06,-0,80.36,1741.3,GIN,1.5,-7,6853467858,10192168,4.45,8.000000009,0
Guinea-Bissau,2010,49.15,7.79,0.23,23.74,1741.3,GNB,4.5,9,849878424.2,1522603,3.08,1.999999999,0
Kenya,2010,1175.47,127,3.36,974.33,1741.3,KEN,4,6,40000088347,42030684,2.86,224.0000347,0
Lesotho,2010,97.14,32.65,2.84,79.57,1741.3,LSO,1,-4,2234731974,1995575,26.81,0,0
Liberia,2010,647.16,39.97,1.45,531.92,1741.3,LBR,5,8,1998000000,3891357,2.27,1.000000002,0
Madagascar,2010,212.48,75.73,8.75,188.95,1741.3,MDG,6,10,9982711030,21151640,4.28,0,0
Malawi,2010,484.61,125.79,-0,381.66,1741.3,MWI,4.5,8,6959655571,14539609,5.94,0,0
Mali,2010,661.62,146.55,-0,466.67,1741.3,MLI,2.5,-6,10689167195,15049352,8.07,0,0
Mauritania,2010,91.07,36.64,17.38,58.52,1741.3,MRT,4.5,8,5628882266,3494200,9.86,0,1
Mauritius,2010,52.91,-0,-0,51.78,1741.3,MUS,2.5,2,10003670690,1250400,7.65,0,0
Mayotte,2010,541.73,0,0,541.73,1741.3,MYT,5.5,7,12917367180,9813219,3.58,0,0
Mozambique,2010,1285.76,157.07,1.81,659.52,1741.3,MOZ,5,9,11104648673,23531567,3.25,5.000000004,0
Namibia,2010,217.6,0,-0,187.86,1741.3,NAM,6.5,9,11431334447,2118877,22.1,8.000000045,0
Niger,2010,361.21,68.63,2.35,247.96,1741.3,NER,2.5,2,7851191899,16464025,0.58,4.999999999,0
Nigeria,2010,868.64,932.92,1.5,820.52,1741.3,NGA,4.5,5,361457000000,158503203,3.77,40.00000001,0
Rwanda,2010,532.57,139.18,1.77,376.69,1741.3,RWA,4.5,6,6121234529,10039338,1.07,21.00000006,1
Saint Helena,2010,50.19,0,0,50.19,1741.3,SHN,5,7,1544380000000,199287292,4.57,449.0000113,0
Sao Tome and Principe,2010,29.77,2.04,0,5.03,1741.3,STP,7,10,196652514.3,180372,14.64,0,0
Senegal,2010,502.97,105.63,12.75,378.73,1741.3,SEN,5,6,16121314671,12678143,10.34,2.000000001,0
Seychelles,2010,25.51,0,16.38,25.15,1741.3,SYC,6.5,9,969936525.3,89770,11.59,0,0
Sierra Leone,2010,178.4,54.79,0.84,154.88,1741.3,SLE,6.5,9,2578026297,6415636,4.16,15.99999994,0
Somalia,2010,301.14,0,6.45,185.62,1741.3,SOM,5.5,8,29839998860,12043886,13.39,10.99999997,1
South Africa,2010,857.49,0,1.63,727.9,1741.3,ZAF,3,-6,375349000000,51216967,24.68,20,0
South Sudan,2010,0,0,0,0,1741.3,SSD,4,7,14602072411,9508372,12.58,0,0
Sudan,2010,1503.42,0,29.26,1140.14,1741.3,SDN,5.5,7,65633998265,34545014,15.17,36.00000002,1
Eswatini,2010,32.37,-0,0.66,30.13,1741.3,SWZ,5,8,4438778547,1064841,26.82,0,0
Tanzania,2010,1602.37,663.19,4.36,1069.66,1741.3,TZA,3.5,5,32014249841,44346532,2.98,9.000000005,0
Togo,2010,228,7.59,0.61,200.54,1741.3,TGO,3.5,-1,3429461495,6421674,2.39,22.00000004,0
Uganda,2010,981.91,311.55,0.97,664.89,1741.3,UGA,2.5,-6,26558908398,32428164,3.61,388.0000192,1
Zambia,2010,588.03,32,-0,408.27,1741.3,ZMB,3,-6,20265559484,13605986,13.19,8.99999999,0
Zimbabwe,2010,496.58,0,-0,333.99,1741.3,ZWE,1,-9,12041655200,12697728,5.22,0,0
Anguilla,2010,0.28,0,0,0.28,1741.3,AIA,4.5,7,63275999127,12894323,2.86,41.99999994,0
Antigua and Barbuda,2010,5.61,0,0,5.48,1741.3,ATG,6,8,1148700000,88030,11.31,0,0
Barbados,2010,2.1,0,0,1.83,1741.3,BRB,6,8,4530000000,282131,10.69,0,0
Belize,2010,10.26,0,-0,9.32,1741.3,BLZ,6.5,9,1377177083,322465,8.45,0,0
Costa Rica,2010,73.85,-0,0.11,64.16,1741.3,CRI,2.5,2,37658614803,4577371,7.17,51.00000158,0
Cuba,2010,81.92,0,-0,33.5,1741.3,CUB,2.5,-6,64328000000,11225833,2.5,4.00000003,0
Dominica,2010,4.91,-0,1.58,4.63,1741.3,DMA,7,10,493825925.9,70877,6.1,3.000004232,0
Dominican Republic,2010,89.9,-0,0.03,41.77,1741.3,DOM,4.5,8,53860175556,9695117,5.21,8.999999952,0
El Salvador,2010,242.58,-0,0.15,149.93,1741.3,SLV,1.5,-9,18447920000,6183877,4.89,12.00000018,0
Grenada,2010,5.36,5.03,-0,4.89,1741.3,GRD,7,10,771013259.3,106227,8.22,0,0
Guatemala,2010,333.62,0,0.27,174.18,1741.3,GTM,4.5,8,40676432029,14259687,3.5,2.999999963,0
Haiti,2010,2300.06,100.68,16.86,1923.38,1741.3,HTI,4,6,11661585823,9949318,15.34,222658.3065,0
Honduras,2010,273.59,104.01,0.75,180.4,1741.3,HND,5,8,15839344592,8317467,4.12,143.9999989,0
Jamaica,2010,-0,0,-0,-0,1741.3,JAM,6,10,13220556883,2810464,12.37,0,0
Mexico,2010,431.45,0,1.23,423.04,1741.3,MEX,7,9,1057800000000,114092961,5.3,193.3878488,0
Montserrat,2010,15.52,0,0,15.52,1741.3,MSR,7,10,52516077579,6563238,6.31,2.000000043,0
Nicaragua,2010,362.7,42.55,0.04,129.24,1741.3,NIC,2,-6,8758639096,5824058,7.83,77.00000047,0
Panama,2010,99.33,0,0.21,92.56,1741.3,PAN,6.5,10,29440300000,3642691,3.71,7.999999886,0
Saint Kitts and Nevis,2010,-0,-0,-0,-0,1741.3,KNA,7,10,760170370.4,49011,7.74,8.000000283,0
Saint Lucia,2010,1.09,9.79,-0,0.09,1741.3,LCA,6.5,9,1486758037,174092,17.11,0,0
Saint Vincent and the Grenadines,2010,0.94,1.19,-0,0.22,1741.3,VCT,7,9,681225925.9,108260,19.32,0,0
Trinidad and Tobago,2010,3.49,0,0,2.82,1741.3,TTO,5,10,22157948396,1328144,4.03,4.999999809,0
Argentina,2010,94.32,0,-0,70.94,1741.3,ARG,5,6,423627000000,40788453,7.71,6.999999992,0
Bolivia,2010,401.63,42.08,0.09,183.23,1741.3,BOL,1,-8,19649631308,10048597,2.55,26.00000012,0
Brazil,2010,383.15,0,1.68,303.72,1741.3,BRA,7,10,2208870000000,195713637,7.73,709.0000149,0
Chile,2010,146.65,-0,2.21,109.39,1741.3,CHL,6.5,10,218538000000,17062531,8.42,507.9999958,0
Colombia,2010,556.09,-0,1.86,413.98,1741.3,COL,2.5,-3,286563000000,45222699,10.98,354.0000032,1
Ecuador,2010,120.96,-0,0.43,48.27,1741.3,ECU,3.5,-1,69555367000,15011114,4.09,44.99999982,0
Guyana,2010,59.67,2.75,0.02,34.96,1741.3,GUY,2.5,-8,3432913353,749430,12.05,0,0
Paraguay,2010,69.38,-0,0.1,33.85,1741.3,PRY,2.5,-8,27237782850,6248017,4.57,1.00000005,0
Peru,2010,-0,0,1.11,-0,1741.3,PER,4,-1,147529000000,29027680,3.3,167.9999957,1
Suriname,2010,71.98,0,0,1.02,1741.3,SUR,2.5,-3,4368398048,529126,7.15,0,0
Uruguay,2010,28.59,0,0.95,20.36,1741.3,URY,4.5,8,40284481652,3359273,7.16,0,0
Venezuela,2010,35.41,0,0.59,26.44,1741.3,VEN,3.5,-1,393192000000,28439942,7.11,58.99999935,0
Cambodia,2010,483.01,31.37,2.1,306.01,1741.3,KHM,2.5,-7,11242275199,14312205,0.77,7.999999988,0
China (People's Republic of),2010,733.64,-0,5.99,598.85,1741.3,CHN,4.5,7,6087160000000,1337705000,4.5,7086.79205,0
Democratic People's Republic of Korea,2010,27.8,0,5.01,9.93,1741.3,PRK,4,5,21731104173,24548840,2.9,0,0
Indonesia,2010,931.7,105.23,-0,492.89,1741.3,IDN,1.5,-8,755094000000,241834226,5.61,1294.000306,0
Lao People's Democratic Republic,2010,260.05,35.07,21.13,148.11,1741.3,LAO,6,7,7127792630,6249168,0.71,0,0
Malaysia,2010,-0,0,0.21,-0,1741.3,MYS,4,6,255017000000,28208028,3.25,4.00000002,0
Mongolia,2010,219.04,27.3,4.21,134.06,1741.3,MNG,1.5,-7,7189481824,2719902,6.55,11.00000024,0
Philippines,2010,450.61,-0,-0,262.07,1741.3,PHL,5,9,208369000000,93966784,3.61,41.00000008,1
Thailand,2010,-0,-0,0.89,-0,1741.3,THA,3.5,5,341105000000,67195032,0.62,297.0000002,1
Timor-Leste,2010,240.2,4.21,0.47,63.13,1741.3,TLS,3.5,1,881826900,1093517,3.3,0,0
Viet Nam,2010,1621.15,812.51,2.61,1155.88,1741.3,VNM,4,5,115932000000,87967655,1.11,211.0000001,0
Afghanistan,2010,5618.78,135.26,110.45,4893.85,1741.3,AFG,3,-5,15856574731,29185511,11.52,349.9999974,1
Armenia,2010,198.92,19.4,1.91,183.92,1741.3,ARM,2.5,0,9260284938,2877314,19.01,1.241965876,0
Azerbaijan,2010,67.26,34.36,15.68,53.32,1741.3,AZE,3.5,5,52909294792,9054332,5.63,3,0
Bangladesh,2010,836.09,104.76,-0,499.99,1741.3,BGD,2.5,-6,115279000000,147575433,3.38,107.0000001,0
Bhutan,2010,64.22,6.88,0.69,35.06,1741.3,BTN,4,5,1547991318,685502,3.32,0,0
Georgia,2010,377,50.96,14.61,321.75,1741.3,GEO,1,-7,12243505583,3786695,20.2,2.000000001,0
India,2010,1954.81,221.51,1.28,1852.36,1741.3,IND,2.5,-6,1675620000000,1234281163,5.65,990.4368701,1
Kazakhstan,2010,107.98,0,48.27,94.7,1741.3,KAZ,3.5,3,148047000000,16321872,5.77,5.445280189,0
Kyrgyzstan,2010,159.8,42.59,58.05,116.62,1741.3,KGZ,5,7,4794357795,5447900,8.64,10.99999993,0
Maldives,2010,47.53,14.98,4.77,31.36,1741.3,MDV,6.5,10,2588176055,365730,10.28,0,0
Myanmar,2010,230.47,0,-0,133.82,1741.3,MMR,1.5,2,51518307518,50600827,0.79,45.00000004,1
Nepal,2010,444.27,124.88,1.34,267.93,1741.3,NPL,1,-7,16002656434,27013207,1.88,149.9999992,0
Pakistan,2010,2449.54,195.89,157.07,2040.55,1741.3,PAK,4.5,7,177166000000,179424643,0.65,2186.000015,1
Sri Lanka,2010,350.07,89.84,3.01,192.68,1741.3,LKA,5,9,56725749222,20261738,4.78,36.99999998,0
Tajikistan,2010,154.66,58.68,5.03,127.63,1741.3,TJK,2,2,5642178580,7527397,10.85,75.00000014,1
Turkmenistan,2010,13.92,0,12.07,11.81,1741.3,TKM,6,8,22583157895,5087211,4,0.951288028,0
Uzbekistan,2010,88.4,30.7,34.36,49.04,1741.3,UZB,1.5,-9,46679875794,28562400,5.4,0.999999993,0
Iran,2010,69.56,0,12.04,52.58,1741.3,IRN,3.5,-4,486808000000,73762519,13.52,19.99999912,1
Iraq,2010,2146.92,57.16,29.97,2010.38,1741.3,IRQ,1.5,-8,138517000000,29741977,8.34,0,1
Jordan,2010,463.1,-0,109.29,428.36,1741.3,JOR,4.5,7,27133804225,7261541,12.5,2.00000005,0
Lebanon,2010,257.61,0,48.57,207.15,1741.3,LBN,2.5,-7,38443907042,4953064,6.4,0,0
Oman,2010,7.49,0,-0,7.14,1741.3,OMN,7,9,56913065779,3041435,3.71,15.9999998,0
Syrian Arab Republic,2010,49.84,-0,-0,31.45,1741.3,SYR,2.5,-4,30106541769,21362541,8.61,0,0
West Bank and Gaza Strip,2010,1622.77,0,111.64,1206.99,1741.3,PSE,4.5,8,9681500000,3786161,21.42,0,0
Yemen,2010,272.57,123.15,79.31,225.05,1741.3,YEM,2,-6,30906749533,23154854,12.93,22.00000001,0
Cook Islands,2010,14.36,0,0,0.03,1741.3,COK,6,6,710852000000,114092961,11.97,222658.3065,0
Fiji,2010,56.59,0,0.41,19.09,1741.3,FJI,2,-7,3140508836,859816,4.32,1.999999999,0
Kiribati,2010,19.73,0,0.08,2.9,1741.3,KIR,7,9,156120895.2,102930,9.43,0,0
Marshall Islands,2010,22.48,0,0.02,20.84,1741.3,MHL,7,9,160407100,56361,11.31,0,0
Nauru,2010,24.66,0,0,1.31,1741.3,NRU,7,8,47564520.39,10009,7.97,16.9999999,0
Niue,2010,15.52,0,0,0.04,1741.3,NIU,4.5,8,4276537205,678329,8.12,2.999999999,0
Palau,2010,27.79,0,0,27.05,1741.3,PLW,6.5,7,185943000,17954,11.51,0,0
Papua New Guinea,2010,407.43,4.42,0,22.1,1741.3,PNG,1,-4,14250755231,7310512,2,0,0
Samoa,2010,82.69,21.54,0,23.29,1741.3,WSM,6.5,8,663161517.9,185944,5.6,0,0
Solomon Islands,2010,275.55,0.05,-0,13.43,1741.3,SLB,5.5,9,846797693.6,527861,1.64,2,0
Tokelau,2010,16.04,0,0,0,1741.3,TKL,6,10,38777346378,8958406,5.17,27.00000012,0
Tonga,2010,52.48,6.94,0,20.36,1741.3,TON,6,9,366840012.4,103981,1.75,0,0
Tuvalu,2010,11.77,0,0,3.63,1741.3,TUV,7,9,31823518.62,10521,8.75,7.999999886,0
Vanuatu,2010,103.21,-0,0,37.3,1741.3,VUT,4,3,670713208.1,236216,1.85,0,0
Wallis and Futuna,2010,110.66,0,0,110.61,1741.3,WLF,3.5,3,6612974822,3848449,3.71,7.000000001,0
Albania,2011,179.22,10.87,2.77,105.03,1777.5,ALB,1,-7,12230507222,2905195,13.48,0,0
Belarus,2011,73.85,0,2.62,30.01,1777.5,BLR,1.5,-7,60300321143,9473172,6.08,6.00596991,0
Bosnia and Herzegovina,2011,253.23,14.63,10.73,83.96,1777.5,BIH,2.5,2,17341594486,3661173,27.58,0,0
Croatia,2011,0,0,0,0,1777.5,HRV,3.5,6,59799454152,4280622,13.68,0,0
North Macedonia,2011,69.17,-0,5.33,48.38,1777.5,MKD,1.5,-9,9632549033,2072484,31.38,0.999999999,0
Moldova,2011,96.55,47.3,20.54,52.54,1777.5,MDA,6,9,7380775145,2859833,6.68,0,0
Montenegro,2011,26.05,3.83,5.69,15.32,1777.5,MNE,4.5,6,4276787738,620079,19.67,0,0
Serbia,2011,232.02,21.72,14.93,145.79,1777.5,SRB,2.5,-3,42671028784,7234099,22.97,1.000000007,0
Turkey,2011,342.43,-0,-0,292.79,1777.5,TUR,4.5,7,864017000000,73443254,8.8,656.0000077,1
Ukraine,2011,415.41,0,14.55,322.15,1777.5,UKR,6,9,143447000000,45706086,7.85,0,0
Algeria,2011,103.84,0,0.19,89.24,1777.5,DZA,4.5,9,165882000000,36661438,9.96,10,1
Egypt,2011,191.22,-0,98.72,112.43,1777.5,EGY,3,5,222848000000,84529251,11.85,1.999999984,0
Libya,2011,462.59,0,96.99,374.26,1777.5,LBY,2.5,-3,28357141373,6247438,19.02,0,1
Morocco,2011,754.4,-0,22.03,681.87,1777.5,MAR,1,-7,98106615022,32781860,8.91,0,0
Tunisia,2011,416.51,-0,15.01,318.83,1777.5,TUN,1,-7,43206166355,10741872,18.33,0,0
Angola,2011,117.39,6.58,0.22,89.48,1777.5,AGO,2.5,-2,86708995310,24220660,7.36,129.9999994,0
Benin,2011,408.37,58.2,-0,313.65,1777.5,BEN,3.5,5,9817949078,9460829,2.65,0,0
Botswana,2011,94.12,-0,7.21,89.12,1777.5,BWA,6,10,13560037580,2015406,17.85,0,0
Burkina Faso,2011,394.96,197.76,1.16,217.45,1777.5,BFA,1.5,-4,10779134810,16081915,5.12,0,0
Burundi,2011,240.12,85.8,0.47,128.9,1777.5,BDI,1.5,-8,2114083126,8958406,1.7,11.99999998,0
Cabo Verde,2011,190.37,-0,-0,31.34,1777.5,CPV,7,10,1730365372,498858,10.93,0,0
Cameroon,2011,284.28,65.87,-0,266.16,1777.5,CMR,5.5,7,27249927182,20906392,3.97,0,0
Central African Republic,2011,90.78,48.08,0.26,69.19,1777.5,CAF,3.5,5,2232465013,4418639,4.38,1,1
Chad,2011,234.93,3.81,-0,190.01,1777.5,TCD,5.5,6,10676943370,12360986,1.66,0,0
Comoros,2011,23.65,2.35,0.7,23.43,1777.5,COM,3.5,0,945204470.1,706578,6.98,0,0
Congo,2011,154.14,22.84,0.38,151.85,1777.5,COG,5,9,13425341013,4394842,11.89,0,0
C�te d'Ivoire,2011,630.51,149.12,2.26,592.39,1777.5,CIV,4.5,6,23815969586,21028652,6.96,0,1
